titulo,ano,link,numeros
Anais da Academia Brasileira de Ciências,2017,/j/aabc/i/2017.v89n1/ ; /j/aabc/i/2017.v89n1suppl0/ ; /j/aabc/i/2017.v89n2/ ; /j/aabc/i/2017.v89n3/ ; /j/aabc/i/2017.v89n3suppl0/ ; /j/aabc/i/2017.v89n4/,6
Anais da Academia Brasileira de Ciências,2016,/j/aabc/i/2016.v88n1/ ; /j/aabc/i/2016.v88suppl1/ ; /j/aabc/i/2016.v88n2/ ; /j/aabc/i/2016.v88n3/ ; /j/aabc/i/2016.v88n3suppl0/ ; /j/aabc/i/2016.v88n4/,6
Anais da Academia Brasileira de Ciências,2015,/j/aabc/i/2015.v87n1/ ; /j/aabc/i/2015.v87n2/ ; /j/aabc/i/2015.v87n2suppl0/ ; /j/aabc/i/2015.v87n3/ ; /j/aabc/i/2015.v87n4/,5
Anais da Academia Brasileira de Ciências,2014,/j/aabc/i/2014.v86n1/ ; /j/aabc/i/2014.v86n2/ ; /j/aabc/i/2014.v86n3/ ; /j/aabc/i/2014.v86n4/,4
Anais da Academia Brasileira de Ciências,2013,/j/aabc/i/2013.v85n1/ ; /j/aabc/i/2013.v85n2/ ; /j/aabc/i/2013.v85n3/ ; /j/aabc/i/2013.v85n4/,4
Anais da Academia Brasileira de Ciências,2012,/j/aabc/i/2012.v84n1/ ; /j/aabc/i/2012.v84n2/ ; /j/aabc/i/2012.v84n3/ ; /j/aabc/i/2012.v84n4/,4
Anais da Academia Brasileira de Ciências,2011,/j/aabc/i/2011.v83n1/ ; /j/aabc/i/2011.v83n2/ ; /j/aabc/i/2011.v83n3/ ; /j/aabc/i/2011.v83n4/,4
Anais da Academia Brasileira de Ciências,2010,/j/aabc/i/2010.v82n1/ ; /j/aabc/i/2010.v82n2/ ; /j/aabc/i/2010.v82n3/ ; /j/aabc/i/2010.v82n4/,4
Anais da Academia Brasileira de Ciências,2009,/j/aabc/i/2009.v81n1/ ; /j/aabc/i/2009.v81n2/ ; /j/aabc/i/2009.v81n3/ ; /j/aabc/i/2009.v81n4/,4
Anais da Academia Brasileira de Ciências,2008,/j/aabc/i/2008.v80n1/ ; /j/aabc/i/2008.v80n2/ ; /j/aabc/i/2008.v80n3/ ; /j/aabc/i/2008.v80n4/,4
Anais da Academia Brasileira de Ciências,2007,/j/aabc/i/2007.v79n1/ ; /j/aabc/i/2007.v79n2/ ; /j/aabc/i/2007.v79n3/ ; /j/aabc/i/2007.v79n4/,4
Anais da Academia Brasileira de Ciências,2006,/j/aabc/i/2006.v78n1/ ; /j/aabc/i/2006.v78n2/ ; /j/aabc/i/2006.v78n3/ ; /j/aabc/i/2006.v78n4/,4
Anais da Academia Brasileira de Ciências,2005,/j/aabc/i/2005.v77n1/ ; /j/aabc/i/2005.v77n2/ ; /j/aabc/i/2005.v77n3/ ; /j/aabc/i/2005.v77n4/,4
Anais da Academia Brasileira de Ciências,2004,/j/aabc/i/2004.v76n1/ ; /j/aabc/i/2004.v76n2/ ; /j/aabc/i/2004.v76n3/ ; /j/aabc/i/2004.v76n4/,4
Anais da Academia Brasileira de Ciências,2003,/j/aabc/i/2003.v75n1/ ; /j/aabc/i/2003.v75n2/ ; /j/aabc/i/2003.v75n3/ ; /j/aabc/i/2003.v75n4/,4
Anais da Academia Brasileira de Ciências,2002,/j/aabc/i/2002.v74n1/ ; /j/aabc/i/2002.v74n2/ ; /j/aabc/i/2002.v74n3/ ; /j/aabc/i/2002.v74n4/,4
Anais da Academia Brasileira de Ciências,2001,/j/aabc/i/2001.v73n1/ ; /j/aabc/i/2001.v73n2/ ; /j/aabc/i/2001.v73n3/ ; /j/aabc/i/2001.v73n4/,4
Anais da Academia Brasileira de Ciências,2000,/j/aabc/i/2000.v72n1/ ; /j/aabc/i/2000.v72n2/ ; /j/aabc/i/2000.v72n3/ ; /j/aabc/i/2000.v72n4/,4
Anais do Museu Paulista: História e Cultura Material,2021,/j/anaismp/i/2021.v29/,1
Anais do Museu Paulista: História e Cultura Material,2020,/j/anaismp/i/2020.v28/,1
Anais do Museu Paulista: História e Cultura Material,2019,/j/anaismp/i/2019.v27/,1
Anais do Museu Paulista: História e Cultura Material,2018,/j/anaismp/i/2018.v26/,1
Anais do Museu Paulista: História e Cultura Material,2017,/j/anaismp/i/2017.v25n1/ ; /j/anaismp/i/2017.v25n2/ ; /j/anaismp/i/2017.v25n3/,3
Anais do Museu Paulista: História e Cultura Material,2016,/j/anaismp/i/2016.v24n1/ ; /j/anaismp/i/2016.v24n2/ ; /j/anaismp/i/2016.v24n3/,3
Anais do Museu Paulista: História e Cultura Material,2015,/j/anaismp/i/2015.v23n1/ ; /j/anaismp/i/2015.v23n2/,2
Anais do Museu Paulista: História e Cultura Material,2014,/j/anaismp/i/2014.v22n1/ ; /j/anaismp/i/2014.v22n2/,2
Anais do Museu Paulista: História e Cultura Material,2013,/j/anaismp/i/2013.v21n1/ ; /j/anaismp/i/2013.v21n2/,2
Anais do Museu Paulista: História e Cultura Material,2012,/j/anaismp/i/2012.v20n1/ ; /j/anaismp/i/2012.v20n2/,2
Anais do Museu Paulista: História e Cultura Material,2011,/j/anaismp/i/2011.v19n1/ ; /j/anaismp/i/2011.v19n2/,2
Anais do Museu Paulista: História e Cultura Material,2010,/j/anaismp/i/2010.v18n1/ ; /j/anaismp/i/2010.v18n2/,2
Anais do Museu Paulista: História e Cultura Material,2009,/j/anaismp/i/2009.v17n1/ ; /j/anaismp/i/2009.v17n2/,2
Anais do Museu Paulista: História e Cultura Material,2008,/j/anaismp/i/2008.v16n1/ ; /j/anaismp/i/2008.v16n2/,2
Anais do Museu Paulista: História e Cultura Material,2007,/j/anaismp/i/2007.v15n1/ ; /j/anaismp/i/2007.v15n2/,2
Anais do Museu Paulista: História e Cultura Material,2006,/j/anaismp/i/2006.v14n1/ ; /j/anaismp/i/2006.v14n2/,2
Anais do Museu Paulista: História e Cultura Material,2005,/j/anaismp/i/2005.v13n1/ ; /j/anaismp/i/2005.v13n2/,2
Anais do Museu Paulista: História e Cultura Material,2004,/j/anaismp/i/2004.v12n1/,1
Anais do Museu Paulista: História e Cultura Material,2003,/j/anaismp/i/2003.v10-11n1/,1
Anais do Museu Paulista: História e Cultura Material,2001,/j/anaismp/i/2001.v8-9n1/,1
Anais do Museu Paulista: História e Cultura Material,1999,/j/anaismp/i/1999.v6-7n1/,1
Anais do Museu Paulista: História e Cultura Material,1997,/j/anaismp/i/1997.v5n1/,1
Anais do Museu Paulista: História e Cultura Material,1996,/j/anaismp/i/1996.v4n1/,1
Anais do Museu Paulista: História e Cultura Material,1995,/j/anaismp/i/1995.v3n1/,1
Anais do Museu Paulista: História e Cultura Material,1994,/j/anaismp/i/1994.v2n1/,1
Anais do Museu Paulista: História e Cultura Material,1993,/j/anaismp/i/1993.v1n1/,1
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2021,/j/aval/i/2021.v26n1/,1
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2020,/j/aval/i/2020.v25n1/ ; /j/aval/i/2020.v25n2/ ; /j/aval/i/2020.v25n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2019,/j/aval/i/2019.v24n1/ ; /j/aval/i/2019.v24n2/ ; /j/aval/i/2019.v24n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2018,/j/aval/i/2018.v23n1/ ; /j/aval/i/2018.v23n2/ ; /j/aval/i/2018.v23n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2017,/j/aval/i/2017.v22n1/ ; /j/aval/i/2017.v22n2/ ; /j/aval/i/2017.v22n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2016,/j/aval/i/2016.v21n1/ ; /j/aval/i/2016.v21n2/ ; /j/aval/i/2016.v21n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2015,/j/aval/i/2015.v20n1/ ; /j/aval/i/2015.v20n2/ ; /j/aval/i/2015.v20n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2014,/j/aval/i/2014.v19n1/ ; /j/aval/i/2014.v19n2/ ; /j/aval/i/2014.v19n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2013,/j/aval/i/2013.v18n1/ ; /j/aval/i/2013.v18n2/ ; /j/aval/i/2013.v18n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2012,/j/aval/i/2012.v17n1/ ; /j/aval/i/2012.v17n2/ ; /j/aval/i/2012.v17n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2011,/j/aval/i/2011.v16n1/ ; /j/aval/i/2011.v16n2/ ; /j/aval/i/2011.v16n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2010,/j/aval/i/2010.v15n1/ ; /j/aval/i/2010.v15n2/ ; /j/aval/i/2010.v15n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2009,/j/aval/i/2009.v14n1/ ; /j/aval/i/2009.v14n2/ ; /j/aval/i/2009.v14n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2008,/j/aval/i/2008.v13n1/ ; /j/aval/i/2008.v13n2/ ; /j/aval/i/2008.v13n3/,3
Avaliação: Revista da Avaliação da Educação Superior (Campinas),2007,/j/aval/i/2007.v12n2/ ; /j/aval/i/2007.v12n3/ ; /j/aval/i/2007.v12n4/,3
Bolema: Boletim de Educação Matemática,2021,/j/bolema/i/2021.v35n69/,1
Bolema: Boletim de Educação Matemática,2020,/j/bolema/i/2020.v34n66/ ; /j/bolema/i/2020.v34n67/ ; /j/bolema/i/2020.v34n68/,3
Bolema: Boletim de Educação Matemática,2019,/j/bolema/i/2019.v33n63/ ; /j/bolema/i/2019.v33n64/ ; /j/bolema/i/2019.v33n65/,3
Bolema: Boletim de Educação Matemática,2018,/j/bolema/i/2018.v32n60/ ; /j/bolema/i/2018.v32n61/ ; /j/bolema/i/2018.v32n62/,3
Bolema: Boletim de Educação Matemática,2017,/j/bolema/i/2017.v31n57/ ; /j/bolema/i/2017.v31n58/ ; /j/bolema/i/2017.v31n59/,3
Bolema: Boletim de Educação Matemática,2016,/j/bolema/i/2016.v30n54/ ; /j/bolema/i/2016.v30n55/ ; /j/bolema/i/2016.v30n56/,3
Bolema: Boletim de Educação Matemática,2015,/j/bolema/i/2015.v29n51/ ; /j/bolema/i/2015.v29n52/ ; /j/bolema/i/2015.v29n53/,3
Bolema: Boletim de Educação Matemática,2014,/j/bolema/i/2014.v28n48/ ; /j/bolema/i/2014.v28n49/ ; /j/bolema/i/2014.v28n50/,3
Bolema: Boletim de Educação Matemática,2013,/j/bolema/i/2013.v27n45/ ; /j/bolema/i/2013.v27n46/ ; /j/bolema/i/2013.v27n47/,3
Bolema: Boletim de Educação Matemática,2012,/j/bolema/i/2012.v26n42a/ ; /j/bolema/i/2012.v26n42b/ ; /j/bolema/i/2012.v26n43/ ; /j/bolema/i/2012.v26n44/,4
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2021,/j/bgoeldi/i/2021.v16n1/ ; /j/bgoeldi/i/2021.v16n2/,2
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2020,/j/bgoeldi/i/2020.v15n1/ ; /j/bgoeldi/i/2020.v15n2/ ; /j/bgoeldi/i/2020.v15n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2019,/j/bgoeldi/i/2019.v14n1/ ; /j/bgoeldi/i/2019.v14n2/ ; /j/bgoeldi/i/2019.v14n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2018,/j/bgoeldi/i/2018.v13n1/ ; /j/bgoeldi/i/2018.v13n2/ ; /j/bgoeldi/i/2018.v13n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2017,/j/bgoeldi/i/2017.v12n1/ ; /j/bgoeldi/i/2017.v12n2/ ; /j/bgoeldi/i/2017.v12n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2016,/j/bgoeldi/i/2016.v11n1/ ; /j/bgoeldi/i/2016.v11n2/ ; /j/bgoeldi/i/2016.v11n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2015,/j/bgoeldi/i/2015.v10n1/ ; /j/bgoeldi/i/2015.v10n2/ ; /j/bgoeldi/i/2015.v10n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2014,/j/bgoeldi/i/2014.v9n1/ ; /j/bgoeldi/i/2014.v9n2/ ; /j/bgoeldi/i/2014.v9n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2013,/j/bgoeldi/i/2013.v8n1/ ; /j/bgoeldi/i/2013.v8n2/ ; /j/bgoeldi/i/2013.v8n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2012,/j/bgoeldi/i/2012.v7n1/ ; /j/bgoeldi/i/2012.v7n2/ ; /j/bgoeldi/i/2012.v7n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2011,/j/bgoeldi/i/2011.v6n1/ ; /j/bgoeldi/i/2011.v6n2/ ; /j/bgoeldi/i/2011.v6n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2010,/j/bgoeldi/i/2010.v5n1/ ; /j/bgoeldi/i/2010.v5n2/ ; /j/bgoeldi/i/2010.v5n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2009,/j/bgoeldi/i/2009.v4n1/ ; /j/bgoeldi/i/2009.v4n2/ ; /j/bgoeldi/i/2009.v4n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2008,/j/bgoeldi/i/2008.v3n1/ ; /j/bgoeldi/i/2008.v3n2/ ; /j/bgoeldi/i/2008.v3n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2007,/j/bgoeldi/i/2007.v2n1/ ; /j/bgoeldi/i/2007.v2n2/ ; /j/bgoeldi/i/2007.v2n3/,3
Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,2006,/j/bgoeldi/i/2006.v1n1/ ; /j/bgoeldi/i/2006.v1n2/ ; /j/bgoeldi/i/2006.v1n3/,3
Brazilian Journal of Political Economy,2021,/j/rep/i/2021.v41n1/ ; /j/rep/i/2021.v41n2/,2
Brazilian Journal of Political Economy,2020,/j/rep/i/2020.v40n1/ ; /j/rep/i/2020.v40n2/ ; /j/rep/i/2020.v40n3/ ; /j/rep/i/2020.v40n4/,4
Brazilian Journal of Political Economy,2019,/j/rep/i/2019.v39n1/ ; /j/rep/i/2019.v39n2/ ; /j/rep/i/2019.v39n3/ ; /j/rep/i/2019.v39n4/,4
Brazilian Journal of Political Economy,2018,/j/rep/i/2018.v38n1/ ; /j/rep/i/2018.v38n2/ ; /j/rep/i/2018.v38n3/ ; /j/rep/i/2018.v38n4/,4
Brazilian Journal of Political Economy,2017,/j/rep/i/2017.v37n1/ ; /j/rep/i/2017.v37n2/ ; /j/rep/i/2017.v37n3/ ; /j/rep/i/2017.v37n4/,4
Brazilian Journal of Political Economy,2016,/j/rep/i/2016.v36n1/ ; /j/rep/i/2016.v36n2/ ; /j/rep/i/2016.v36n3/ ; /j/rep/i/2016.v36n4/,4
Brazilian Journal of Political Economy,2015,/j/rep/i/2015.v35n1/ ; /j/rep/i/2015.v35n2/ ; /j/rep/i/2015.v35n3/ ; /j/rep/i/2015.v35n4/,4
Brazilian Journal of Political Economy,2014,/j/rep/i/2014.v34n1/ ; /j/rep/i/2014.v34n2/ ; /j/rep/i/2014.v34n3/ ; /j/rep/i/2014.v34n4/,4
Brazilian Journal of Political Economy,2013,/j/rep/i/2013.v33n1/ ; /j/rep/i/2013.v33n2/ ; /j/rep/i/2013.v33n3/ ; /j/rep/i/2013.v33n4/,4
Brazilian Journal of Political Economy,2012,/j/rep/i/2012.v32n1/ ; /j/rep/i/2012.v32n2/ ; /j/rep/i/2012.v32n3/ ; /j/rep/i/2012.v32n4/,4
Brazilian Journal of Political Economy,2011,/j/rep/i/2011.v31n1/ ; /j/rep/i/2011.v31n2/ ; /j/rep/i/2011.v31n3/ ; /j/rep/i/2011.v31n4/ ; /j/rep/i/2011.v31n5/,5
Brazilian Journal of Political Economy,2010,/j/rep/i/2010.v30n1/ ; /j/rep/i/2010.v30n2/ ; /j/rep/i/2010.v30n3/ ; /j/rep/i/2010.v30n4/,4
Brazilian Journal of Political Economy,2009,/j/rep/i/2009.v29n1/ ; /j/rep/i/2009.v29n2/ ; /j/rep/i/2009.v29n3/ ; /j/rep/i/2009.v29n4/,4
Brazilian Journal of Political Economy,2008,/j/rep/i/2008.v28n1/ ; /j/rep/i/2008.v28n2/ ; /j/rep/i/2008.v28n3/ ; /j/rep/i/2008.v28n4/,4
Brazilian Journal of Political Economy,2007,/j/rep/i/2007.v27n1/ ; /j/rep/i/2007.v27n2/ ; /j/rep/i/2007.v27n3/ ; /j/rep/i/2007.v27n4/,4
Brazilian Journal of Political Economy,2006,/j/rep/i/2006.v26n1/ ; /j/rep/i/2006.v26n2/ ; /j/rep/i/2006.v26n3/ ; /j/rep/i/2006.v26n4/,4
Brazilian Journal of Political Economy,2005,/j/rep/i/2005.v25n1/ ; /j/rep/i/2005.v25n2/ ; /j/rep/i/2005.v25n3/ ; /j/rep/i/2005.v25n4/,4
Brazilian Journal of Political Economy,2004,/j/rep/i/2004.v24n1/ ; /j/rep/i/2004.v24n2/ ; /j/rep/i/2004.v24n3/ ; /j/rep/i/2004.v24n4/,4
Brazilian Journal of Political Economy,2003,/j/rep/i/2003.v23n1/ ; /j/rep/i/2003.v23n2/ ; /j/rep/i/2003.v23n3/ ; /j/rep/i/2003.v23n4/,4
Brazilian Journal of Political Economy,2002,/j/rep/i/2002.v22n1/ ; /j/rep/i/2002.v22n2/ ; /j/rep/i/2002.v22n3/ ; /j/rep/i/2002.v22n4/,4
Brazilian Political Science Review,2021,/j/bpsr/i/2021.v15n1/ ; /j/bpsr/i/2021.v15n2/,2
Brazilian Political Science Review,2020,/j/bpsr/i/2020.v14n1/ ; /j/bpsr/i/2020.v14n2/ ; /j/bpsr/i/2020.v14n3/,3
Brazilian Political Science Review,2019,/j/bpsr/i/2019.v13n1/ ; /j/bpsr/i/2019.v13n2/ ; /j/bpsr/i/2019.v13n3/,3
Brazilian Political Science Review,2018,/j/bpsr/i/2018.v12n1/ ; /j/bpsr/i/2018.v12n2/ ; /j/bpsr/i/2018.v12n3/,3
Brazilian Political Science Review,2017,/j/bpsr/i/2017.v11n1/ ; /j/bpsr/i/2017.v11n2/ ; /j/bpsr/i/2017.v11n3/,3
Brazilian Political Science Review,2016,/j/bpsr/i/2016.v10n1/ ; /j/bpsr/i/2016.v10n2/ ; /j/bpsr/i/2016.v10n3/,3
Brazilian Political Science Review,2015,/j/bpsr/i/2015.v9n1/ ; /j/bpsr/i/2015.v9n2/ ; /j/bpsr/i/2015.v9n3/,3
Brazilian Political Science Review,2014,/j/bpsr/i/2014.v8n1/ ; /j/bpsr/i/2014.v8n2/ ; /j/bpsr/i/2014.v8n3/,3
Brazilian Political Science Review,2013,/j/bpsr/i/2013.v7n1/ ; /j/bpsr/i/2013.v7n2/ ; /j/bpsr/i/2013.v7n3/,3
Brazilian Political Science Review,2012,/j/bpsr/i/2012.v6n2/,1
Caderno CRH,2020,/j/ccrh/i/2020.v33/,1
Caderno CRH,2019,/j/ccrh/i/2019.v32n85/ ; /j/ccrh/i/2019.v32n86/ ; /j/ccrh/i/2019.v32n87/,3
Caderno CRH,2018,/j/ccrh/i/2018.v31n82/ ; /j/ccrh/i/2018.v31n83/ ; /j/ccrh/i/2018.v31n84/,3
Caderno CRH,2017,/j/ccrh/i/2017.v30n79/ ; /j/ccrh/i/2017.v30n80/ ; /j/ccrh/i/2017.v30n81/,3
Caderno CRH,2016,/j/ccrh/i/2016.v29n76/ ; /j/ccrh/i/2016.v29n77/ ; /j/ccrh/i/2016.v29n78/ ; /j/ccrh/i/2016.v29nspe3/,4
Caderno CRH,2015,/j/ccrh/i/2015.v28n73/ ; /j/ccrh/i/2015.v28n74/ ; /j/ccrh/i/2015.v28n75/,3
Caderno CRH,2014,/j/ccrh/i/2014.v27n70/ ; /j/ccrh/i/2014.v27n71/ ; /j/ccrh/i/2014.v27n72/,3
Caderno CRH,2013,/j/ccrh/i/2013.v26n67/ ; /j/ccrh/i/2013.v26n68/ ; /j/ccrh/i/2013.v26n69/,3
Caderno CRH,2012,/j/ccrh/i/2012.v25n64/ ; /j/ccrh/i/2012.v25n65/ ; /j/ccrh/i/2012.v25n66/ ; /j/ccrh/i/2012.v25nspe2/,4
Caderno CRH,2011,/j/ccrh/i/2011.v24n61/ ; /j/ccrh/i/2011.v24n62/ ; /j/ccrh/i/2011.v24n63/ ; /j/ccrh/i/2011.v24nspe1/,4
Caderno CRH,2010,/j/ccrh/i/2010.v23n58/ ; /j/ccrh/i/2010.v23n59/ ; /j/ccrh/i/2010.v23n60/,3
Caderno CRH,2009,/j/ccrh/i/2009.v22n55/ ; /j/ccrh/i/2009.v22n56/ ; /j/ccrh/i/2009.v22n57/,3
Caderno CRH,2008,/j/ccrh/i/2008.v21n52/ ; /j/ccrh/i/2008.v21n53/ ; /j/ccrh/i/2008.v21n54/,3
Caderno CRH,2007,/j/ccrh/i/2007.v20n49/ ; /j/ccrh/i/2007.v20n50/ ; /j/ccrh/i/2007.v20n51/,3
Cadernos CEDES,2021,/j/ccedes/i/2021.v41n113/ ; /j/ccedes/i/2021.v41n114/,2
Cadernos CEDES,2020,/j/ccedes/i/2020.v40n110/ ; /j/ccedes/i/2020.v40n111/ ; /j/ccedes/i/2020.v40n112/,3
Cadernos CEDES,2019,/j/ccedes/i/2019.v39n107/ ; /j/ccedes/i/2019.v39n108/ ; /j/ccedes/i/2019.v39n109/,3
Cadernos CEDES,2018,/j/ccedes/i/2018.v38n104/ ; /j/ccedes/i/2018.v38n105/ ; /j/ccedes/i/2018.v38n106/,3
Cadernos CEDES,2017,/j/ccedes/i/2017.v37n101/ ; /j/ccedes/i/2017.v37n102/ ; /j/ccedes/i/2017.v37n103/,3
Cadernos CEDES,2016,/j/ccedes/i/2016.v36n98/ ; /j/ccedes/i/2016.v36n99/ ; /j/ccedes/i/2016.v36n100/,3
Cadernos CEDES,2015,/j/ccedes/i/2015.v35n95/ ; /j/ccedes/i/2015.v35n96/ ; /j/ccedes/i/2015.v35n97/ ; /j/ccedes/i/2015.v35nspe/,4
Cadernos CEDES,2014,/j/ccedes/i/2014.v34n92/ ; /j/ccedes/i/2014.v34n93/ ; /j/ccedes/i/2014.v34n94/,3
Cadernos CEDES,2013,/j/ccedes/i/2013.v33n89/ ; /j/ccedes/i/2013.v33n90/ ; /j/ccedes/i/2013.v33n91/,3
Cadernos CEDES,2012,/j/ccedes/i/2012.v32n86/ ; /j/ccedes/i/2012.v32n87/ ; /j/ccedes/i/2012.v32n88/,3
Cadernos CEDES,2011,/j/ccedes/i/2011.v31n83/ ; /j/ccedes/i/2011.v31n84/ ; /j/ccedes/i/2011.v31n85/,3
Cadernos CEDES,2010,/j/ccedes/i/2010.v30n80/ ; /j/ccedes/i/2010.v30n81/ ; /j/ccedes/i/2010.v30n82/,3
Cadernos CEDES,2009,/j/ccedes/i/2009.v29n77/ ; /j/ccedes/i/2009.v29n78/ ; /j/ccedes/i/2009.v29n79/,3
Cadernos CEDES,2008,/j/ccedes/i/2008.v28n74/ ; /j/ccedes/i/2008.v28n75/ ; /j/ccedes/i/2008.v28n76/,3
Cadernos CEDES,2007,/j/ccedes/i/2007.v27n71/ ; /j/ccedes/i/2007.v27n72/ ; /j/ccedes/i/2007.v27n73/,3
Cadernos CEDES,2006,/j/ccedes/i/2006.v26n68/ ; /j/ccedes/i/2006.v26n69/ ; /j/ccedes/i/2006.v26n70/,3
Cadernos CEDES,2005,/j/ccedes/i/2005.v25n65/ ; /j/ccedes/i/2005.v25n66/ ; /j/ccedes/i/2005.v25n67/,3
Cadernos CEDES,2004,/j/ccedes/i/2004.v24n62/ ; /j/ccedes/i/2004.v24n63/ ; /j/ccedes/i/2004.v24n64/,3
